,organization_id,day_of,total_meetings,group_meetings,pooled_meetings,prof_feature_meetings,web_conf_tool_meetings
1560,2021cd098370e82f90b4484435b97fad,2020-09-22 00:00:00,1,0,0,0,1
1561,2021cd098370e82f90b4484435b97fad,2020-09-23 00:00:00,1,0,0,0,1
1562,2021cd098370e82f90b4484435b97fad,2020-09-29 00:00:00,1,0,0,0,1
1563,2021cd098370e82f90b4484435b97fad,2020-09-30 00:00:00,1,0,0,0,1
1564,2021cd098370e82f90b4484435b97fad,2020-10-03 00:00:00,1,0,0,0,1
1565,2021cd098370e82f90b4484435b97fad,2020-10-28 00:00:00,1,0,0,0,1
1566,2021cd098370e82f90b4484435b97fad,2020-10-29 00:00:00,1,0,0,0,1
1567,2021cd098370e82f90b4484435b97fad,2020-11-05 00:00:00,1,0,0,0,1
1568,207b3887028d5b3898cd50428a42b267,2020-01-09 00:00:00,1,1,0,0,1
1569,207b3887028d5b3898cd50428a42b267,2020-01-19 00:00:00,1,1,0,0,1
1570,208fec63e6163c1a1ef1a6041394cc4d,2020-01-06 00:00:00,6,0,0,0,0
1571,208fec63e6163c1a1ef1a6041394cc4d,2020-01-07 00:00:00,3,0,0,0,0
1572,208fec63e6163c1a1ef1a6041394cc4d,2020-01-19 00:00:00,1,0,0,0,0
1573,208fec63e6163c1a1ef1a6041394cc4d,2020-01-26 00:00:00,1,0,0,0,1
1574,208fec63e6163c1a1ef1a6041394cc4d,2020-01-27 00:00:00,3,0,0,0,1
1575,208fec63e6163c1a1ef1a6041394cc4d,2020-02-04 00:00:00,1,0,0,0,1
1576,208fec63e6163c1a1ef1a6041394cc4d,2020-02-18 00:00:00,2,0,0,0,2
1577,208fec63e6163c1a1ef1a6041394cc4d,2020-02-20 00:00:00,1,0,0,0,1
1578,208fec63e6163c1a1ef1a6041394cc4d,2020-02-27 00:00:00,1,0,0,0,1
1579,208fec63e6163c1a1ef1a6041394cc4d,2020-04-06 00:00:00,1,0,0,0,1
1580,208fec63e6163c1a1ef1a6041394cc4d,2020-04-20 00:00:00,1,0,0,0,1
1581,208fec63e6163c1a1ef1a6041394cc4d,2020-04-28 00:00:00,1,0,0,0,1
1582,208fec63e6163c1a1ef1a6041394cc4d,2020-06-16 00:00:00,1,0,0,0,1
1583,208fec63e6163c1a1ef1a6041394cc4d,2020-06-23 00:00:00,1,0,0,0,1
1584,208fec63e6163c1a1ef1a6041394cc4d,2020-08-11 00:00:00,2,0,0,0,2
1585,208fec63e6163c1a1ef1a6041394cc4d,2020-10-14 00:00:00,1,0,0,0,1
1586,2228761cf6f31417abe686505bb3fd1e,2020-01-09 00:00:00,1,0,0,0,1
1587,2228761cf6f31417abe686505bb3fd1e,2020-01-25 00:00:00,1,0,0,0,1
1588,2228761cf6f31417abe686505bb3fd1e,2020-02-10 00:00:00,4,0,0,0,4
1589,2228761cf6f31417abe686505bb3fd1e,2020-02-20 00:00:00,1,0,0,0,1
1590,2228761cf6f31417abe686505bb3fd1e,2020-03-22 00:00:00,1,1,0,0,1
1591,2228761cf6f31417abe686505bb3fd1e,2020-03-23 00:00:00,21,19,0,0,21
1592,2228761cf6f31417abe686505bb3fd1e,2020-03-24 00:00:00,8,8,0,0,8
1593,2228761cf6f31417abe686505bb3fd1e,2020-03-25 00:00:00,5,4,0,0,4
1594,2228761cf6f31417abe686505bb3fd1e,2020-03-26 00:00:00,2,0,0,0,2
1595,2228761cf6f31417abe686505bb3fd1e,2020-03-28 00:00:00,2,1,0,0,1
1596,2228761cf6f31417abe686505bb3fd1e,2020-03-31 00:00:00,2,0,0,0,2
1597,2228761cf6f31417abe686505bb3fd1e,2020-04-03 00:00:00,1,0,0,0,1
1598,2228761cf6f31417abe686505bb3fd1e,2020-04-07 00:00:00,1,0,0,0,0
1599,2228761cf6f31417abe686505bb3fd1e,2020-04-08 00:00:00,1,0,0,0,0
1600,2228761cf6f31417abe686505bb3fd1e,2020-04-11 00:00:00,1,0,0,0,1
1601,2228761cf6f31417abe686505bb3fd1e,2020-04-13 00:00:00,1,0,0,0,1
1602,2228761cf6f31417abe686505bb3fd1e,2020-04-24 00:00:00,1,0,0,0,1
